id,author,year,title,use,ifno_why,where,lat,lon,how,paper_link,who,n_scions,n_rootstock,notes,source_paper_id,source_paper_title,country,country_code
384,"Warschefsky, EJ; Klein, LL; Frank, MH; Chitwood, DH; Londo, JP; von Wettberg, EJB; Miller, AJ",2016,"Rootstocks: Diversity, Domestication, and Impacts on Shoot Phenotypes",no,"review on multiple fruits, including vitis vinifera",,,,,,crd,,,,na,na,,
385,"Permanhani, M; Costa, JM; Conceicao, MAF; de Souza, RT; Vasconcellos, MAS; Chaves, MM",2016,Deficit irrigation in table grape: eco-physiological basis and potential use to save water and improve quality,no,review,,,,,,crd,,,table grapes,na,na,,
386,"Conde, A; Breia, R; Moutinho-Pereira, J; Grimplet, J; Geros, H",2016,Metabolic rearrangements in grapevine response to salt stress,no,irrelevant,,,,,,crd,,,,na,na,,
389,"Sanderlin, RS; Melanson, RA",2008,Reduction of Xylella fastidiosa transmission through pecan scion wood by hot-water treatment,no,pecan,,,,,,crd,,,,na,na,,
390,"Tagliavini, M; Rombola, AD",2001,Iron deficiency and chlorosis in orchard and vineyard ecosystems,no,review,,,,,https://www.sciencedirect.com/science/article/pii/S1161030101001253,crd,,,,na,na,,
391,"Gibberd, MR; Walker, RR; Blackmore, DH; Condon, AG",2001,Transpiration efficiency and carbon-isotope discrimination of grapevines grown under well-watered conditions in either glasshouse or vineyard,yes,,Padthaway,-36.6,140.49,"gave latitude and longitude, but with only two decimals",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1755-0238.2001.tb00197.x,crd,9,10,9 vitis vinifera varieties and 10 vitis species and hybrids;I can't recognize how many rootstocks or scion were used or if this is irrelevant for that paper ,na,na,Australia,AUS
393,"Grosser, JW; Jiang, J; Mourao, FDA; Louzada, ES; Baergen, K; Chandler, JL; Gmitter, FG",1998,"Somatic hybridization, an integral component of citrus cultivar improvement: I. Scion improvement",no,citrus,,,,,,emw,,,,na,na,,
394,"Wolf, T; Eimert, K; Bleser, E; Ries, R",1998,PCR/RAPD to determine the genotype of wooden rootstock cuttings,no,can't have access;at woodward,,,,,https://www.actahort.org/books/473/473_4.htm,crd,,,,na,na,,
400,"Ono, T; Fujiwara, Y; Yoda, S; Takagi, N; Kubota, N",2000,Translocation and partitioning of C-13-photosynthates in the shoot with emphasis on berry coloration in 'Pione' grapes,yes,,"okayama prefectural agricultural experimental station, okayama",34.69533425,133.7786873,"location of okayama prefectural agricultural experimental station, okayama",https://agris.fao.org/agris-search/search.do?recordID=JP2000005664,crd,,,"text is in japanese, but I assumed location from author's affiliation ; from interlibrary loan",na,na,Japan,JPN
404,"Garcia-Jaramillo, M; Meyer, KM; Phillips, CL; Acosta-Martinez, V; Osborne, J; Levin, AD; Trippe, KM",2021,"Biochar addition to vineyard soils: effects on soil functions, grape yield and wine quality",yes,,"Alpine, Oregon;Talent, Oregon",44.339944,-123.407611,"in paper, converted to decimal",https://www.researchgate.net/publication/354345874_Biochar_addition_to_vineyard_soils_effects_on_soil_functions_grape_yield_and_wine_quality,crd,1,1,,na,na,United States,USA
404,"Garcia-Jaramillo, M; Meyer, KM; Phillips, CL; Acosta-Martinez, V; Osborne, J; Levin, AD; Trippe, KM",2021,"Biochar addition to vineyard soils: effects on soil functions, grape yield and wine quality",yes,,"Talent, Oregon",42.232528,-122.798611,"in paper, converted to decimal",https://www.researchgate.net/publication/354345874_Biochar_addition_to_vineyard_soils_effects_on_soil_functions_grape_yield_and_wine_quality,crd,,,,na,na,United States,USA
422,"Sluiter, IRK; McKenzie, L; Mitchell, JR",2014,Walnut Rootstock Selection for Calcareous Soils in Southeastern Australia and the Potential for Expanding the Walnut Industry in the Region,no,walnut,,,,,,crd,,,,na,na,,
425,"Cardoso, M; Diniz, I; Cabral, A; Rego, C; Oliveira, H",2013,Unveiling inoculum sources of black foot pathogens in a commercial grapevine nursery,yes,,Oeste” region of Portu-gal,39.27683694,-9.158402739,"from the region provided, no precise location, I took a central point in the region",https://oajournals.fupress.net/index.php/pm/article/view/5521/5519,crd,,,they mention 6 cultivar/rootstock combination,na,na,Portugal,PRT
437,"Retief, E; McLeod, A; Fourie, PH",2006,Potential inoculum sources of Phaeomoniella chlamydospora in South African grapevine nurseries,yes,,"Department of Plant Pathology, University of Stellenbosch,",-33.93285803,18.86609568,"probably conducted at Stellenbosch University, but not explicity given",https://pubmed.ncbi.nlm.nih.gov/32214676/,crd,NA,NA,,na,na,South Africa,ZAF
440,"Moore, GA; Luth, D; Febres, VJ; McCaffery, M; Garnsey, SM; Niblett, CL",2000,Agrobacterium-mediated transformation of grapefruit (Citrus paradisi Macf.) with genes from citrus tristeza virus,no,grapefruit,,,,,,crd,,,,na,na,,
449,"GILLINGS, M; OPHELKELLER, K",1995,COMPARISON OF STRAINS OF AGROBACTERIUM-VITIS FROM GRAPEVINE SOURCE AREAS IN AUSTRALIA,no,not sure if useable,,,,,,crd,,,they checked the presence of a bacteria on differerent rootstocks and scion from three different regions in Australia,na,na,,
452,"de Paula, BV; Marques, ACR; Rodrigues, LAT; de Souza, ROS; Kulmann, MSD; Kaminski, J; Ceretta, CA; de Melo, GWB; Mayer, NA; Antunes, LE; Ricachenevsky, FK; Nicoloso, FT; Brunetto, G",2018,Morphological and kinetic parameters of the uptake of nitrogen forms in clonal peach rootstocks,no,peach,,,,,,crd,,,,na,na,,
454,"Wu, Y; Henderson, SW; Walker, RR; Gilliham, M",2022,Root-Specific Expression of Vitis vinifera VviNPF2.2 Modulates Shoot Anion Concentration in Transgenic Arabidopsis,no,grapevine genes relation to cl- exclusion ,,,,,https://www.frontiersin.org/articles/10.3389/fpls.2022.863971/full,crd,,,,na,na,,
456,"Aldrich, DJ; Bester, R; Burger, J; Maree, HJ",2019,Characterisation of different GLRaV-3 variant infections by determining virus concentration ratios and miRNA expression profiles,yes,,,-33.92757969,18.83050545,greenhouse study in Stellenbosch (I am guessing based on methods),https://ojs.openagrar.de/index.php/VITIS/article/view/10703/12595,emw,1,2,,na,na,South Africa,ZAF
463,"Yakushiji, H; Sugiura, H; Yamasaki, A; Azuma, A; Koshita, Y",2019,"Tree growth, productivity, and fruit quality of 'Fuyu' persimmon trees onto different dwarfing rootstocks",no,persimmon,,,,,,emw,,,,na,na,,
466,"Najar, A; Hamrouni, L; Bouhlal, R; Jemali, A; Jamoussi, B; Duran-Vila, N",2017,Viroid infection and rootstocks affect productivity and fruit quality of the Tunisian citrus cultivar Maltaise demi sanguine,no,citrus,,,,,,crd,,,,na,na,,
486,"Jimenez, S; Fattahi, M; Bedis, K; Nasrolahpour-moghadam, S; Irigoyen, JJ; Gogorcena, Y",2020,"Interactional Effects of Climate Change Factors on the Water Status, Photosynthetic Rate, and Metabolic Regulation in Peach",no,peach,,,,,,crd,,,,na,na,,
488,"Castle, WS; Baldwin, JC; Muraro, RP; Littell, R",2010,Performance of 'Valencia' Sweet Orange Trees on 12 Rootstocks at Two Locations and an Economic Interpretation as a Basis for Rootstock Selection,no,citrus,,,,,https://journals.ashs.org/hortsci/view/journals/hortsci/45/4/article-p523.xml,crd,,,,na,na,,
512,"Toro, G; Pastenes, C; Salvatierra, A; Pimientel, P",2023,"Trade-off between hydraulic sensitivity, root hydraulic conductivity and water use efficiency in grafted Prunus under water deficit",no,prunus,,,,,,crd,,,,na,na,,
517,"Savi, T; Gonzalez, AG; Herrera, JC; Forneck, A",2019,"Gas exchange, biomass and non-structural carbohydrates dynamics in vines under combined drought and biotic stress",yes,," Institute of Viticulture and Pomology, BOKU, Tulln (Lower Austria)",48.23720072,16.31287922,"took the location of  Institute of Viticulture and Pomology, BOKU, Tulln (Lower Austria)",https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-019-2017-2,crd,1,1,in greenhouse,na,na,Austria,AUT
521,"Peschiutta, ML; Bucci, SJ; Scholz, FG; Kowal, RF; Goldstein, G",2013,"Leaf and stem hydraulic traits in relation to growth, water use and fruit yield in Prunus avium L. cultivars",no,prunus,,,,,,emw,,,,na,na,,
527,"McCollum, TG; Hearn, CJ; Ritenour, M",2010,Maturity and Postharvest Performance of 'US Early Pride' Seedless Mandarins,no,citrus,,,,,,crd,,,,na,na,,
529,"Gimmler, H; Degenhardt, B; Lang, S; Track, C",1998,"Uptake of sodium, boron and heavy metals from an alkaline top layer and translocation to leaves and lower roots of Vitis vinifera during a long time duplex study",yes,,"Universität Würzburg, Sanderring, Wurtzbourg, Germany",49.78829203,9.935163449,"location of university, no explicit mention of where they conducted the experiment",https://chemport-n.cas.org//chemport-n/?APP=ftslink&action=reflink&origin=npg&version=1.0&coi=1%3ACAS%3A528%3ADyaK1MXkvFGrtg%3D%3D&md5=6fb78398fdd28000fba419fa911f8c1b,crd,1,1,from interlibrary loan,na,na,Germany,DEU
na,"Morano, Lisa; Kliewer, W. Mark",1994,"Root Distribution of Three Grapevine Rootstocks Grafted to Cabernet Sauvignon Grown on a Very Gravelly Clay Loam Soil in Oakville, California",yes,,University of California Department of Viticulture and Enology Oakville Experimental Vine- yard.,38.43444812,-122.3518347,vineyard coordinates,https://www.ajevonline.org/content/45/3/345,crd,1,3,NA,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,United States,USA
na,"Sipiora, M. J. ;  Anderson, M. M. ;  Matthews, M. A.",2004,A role of irrigation in managing vine potassium status on a clay soil.,yes,,"Carneros appellation in California, USA",38.22321232,-122.3698494,middle of carneros,https://www.cabdirect.org/cabdirect/abstract/20053180988,crd,1,1,,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,United States,USA
na,"Southey, J.M.",1992,Root Distribution of Different Grapevine Rootstocks on a Relatively Saline Soil,yes,,Breede River Valley ,-33.766667,19.833333,"in paper, converted to decimal. Doesn’t make sens",https://www.journals.ac.za/sajev/article/view/2189,crd,1,10,"found from same author, but not cited in the review; electrical resistance of chenin blanc",185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,South Africa,ZAF
na,"Saayman, D.",1982,"Soil Preparation Studies: II. The Effect of Depth and Method of Soil
Preparation and of Organic Material on the Performance of Vitis
vinifera (var. Colombar) on Clovelly/Hutton Soil ",yes,,"OVRI experimental farm, Nietvoorbij,
situated in the Cape coastal region",-33.90870097,18.86057442,location of nietvoorbij,https://www.journals.ac.za/sajev/article/view/2383,crd,1,1,study on root growth with different treatments,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,South Africa,ZAF
na,"Hunter, J. J.; Ruffner, H. P.; Volschenk, C. G.; Roux, D. J. Le",1995,"Partial Defoliation of Vitis vinifera L. cv. Cabernet Sauvignon/99 Richter: Effect on Root Growth, Canopy Efficiency; Grape Composition, and Wine Quality",yes,,"Western Cape at Nietvoorbij, Stellenbosch",-33.90870097,18.86057442,location of nietvoorbij,https://www.ajevonline.org/content/46/3/306.short,crd,1,1,study on defoliation on a single scion/rootstock,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,South Africa,ZAF
na,"Williams, L. E.; Smith, R. J.",1991,"The Effect of Rootstock on the Partitioning of Dry Weight, Nitrogen and Potassium, and Root Distribution of Cabernet Sauvignon Grapevines",yes,,"Department of Viticulture and Enology Oakville Research Station near Oakville, California,",39.85771701,-123.1556472,location of research station,https://www.ajevonline.org/content/42/2/118?ijkey=73bb241be94f7240c5cf8c1a209a7eb233259fc0&keytype2=tf_ipsecsha,crd,1,2,study on K and N concentrations on 1 scion and two rootstocks,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,United States,USA
na,"Saayman, D.",1980,Soil Preparation Studies: I. The Effect of Depth and Method of Soil Preparation and of Organic Material on the performance of Vi tis Vinifera (var. Chenin Blanc) on Hutton/Sterkspruit Soil,yes,,"Nietvoorbij, situated in the Cape coastal region",-33.90870097,18.86057442,location of nietvoorbij,https://www.journals.ac.za/index.php/sajev/article/view/2419,crd,1,1,study on root growth with different treatments; the preliminary experiment of same authors in 1982,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,South Africa,ZAF
na,"Saayman, D.",1989,The Influence of Rootstock on the Rooting Pattern of the Grapevine,yes,,upper breede river valley,-33.67023876,19.46690462,middle of upper breede river valley,https://www.journals.ac.za/index.php/sajev/article/view/2295,crd,1,9,NA,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,South Africa,ZAF
na,"Morlat, René; Jacquet, Alain",2003,Grapevine Root System and Soil Characteristics in a Vineyard Maintained Long-term with or without Interrow Sward,yes,," Loire Valley, France, on the Anjou plateau",47.35,0.466667,"in paper, converted to decimal",https://www.ajevonline.org/content/54/1/1,crd,1,1,NA,185,Grapevine Rooting Patterns: A Comprehensive Analysis and a Review,France,FRA
na,"Cookson, Sarah Jane; Ollat, Nathalie",2013,Grafting with rootstocks induces extensive transcriptional re-programming in the shoot apical meristem of grapevine,yes,,in greenhouse,44.77380224,-0.566765239,based on author affiliation,https://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-13-147,crd,1,2,study on the effect of rootstock on scion gene expression,50,Molecular advances in rootstock-scion interaction in grapevine,France,FRA
na,"Cookson, S. J.; Clemente Moreno, M. J.; Hevin, C.; Nyamba Mendome, L. Z.; Delrot, S.; Magnin, N.; Trossat-Magnin, C.; Ollat, N.",2014,Heterografting with nonself rootstocks induces genes involved in stress responses at the graft interface when compared with autografted controls ,yes,,vineyard in France,44.77380224,-0.566765239,based on author affiliation,https://academic.oup.com/jxb/article/65/9/2473/524651#84834396,crd,3,3,"objective of this study was to determine whether grafting two different grapevine genotypes alters gene expression at the graft interface;three clones used, grafter on each other.",50,Molecular advances in rootstock-scion interaction in grapevine,France,FRA
na,"Marè, Caterina; Aprile, Alessio; Roncaglia, Enrica; Tocci, Emanuele; Corino, Lorenzo   Giuseppe; De Bellis, Luigi; Cattivelli, Luigi",2013,Rootstock and soil induce transcriptome modulation of phenylpropanoid pathway in grape leaves,yes,,in greenhouse,44.90050948,8.206622713,they mentionned that they took soil in an Asti vineyard. Assume its from there,https://www.tandfonline.com/doi/full/10.1080/17429145.2012.754958,crd,1,2,"study on the link among soil composition, rootstock and gene expression",50,Molecular advances in rootstock-scion interaction in grapevine,Italy,ITA
na,"Alsina, Maria Mar; Smart, David R.; Bauerle, Taryn; de Herralde, Felicidad; Biel, Carme; Stockert, Christine; Negron, Claudia; Save, Robert",2011,Seasonal changes of whole root system conductance by a drought-tolerant grape root system ,yes,,"Oakville, Napa Valley (California) ",38.416667,-122.4,"in paper, converted to decimal",https://academic.oup.com/jxb/article/62/1/99/507138?login=true,crd,1,2,,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,United States,USA
na,"De Bei, R.; Cozzolino, D.; Sullivan, W.; Cynkar, W.; Fuentes, S.; Dambergs, R.; Pech, J.; Tyerman, S.",2010,Non-destructive measurement of grapevine water potential using near infrared spectroscopy,yes,,"Coombe vineyard at the Waite Campus of the University of Adelaide, South Australia",-34.96763,138.63345,"in paper, converted to decimal",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1755-0238.2010.00117.x,crd,2,2,study on the utility of NIR spectroscopy to measure grapevine water potential; own rooted,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Australia,AUS
na,"De Bei, R.; Cozzolino, D.; Sullivan, W.; Cynkar, W.; Fuentes, S.; Dambergs, R.; Pech, J.; Tyerman, S.",2010,Non-destructive measurement of grapevine water potential using near infrared spectroscopy,yes,,"commercial Chardonnay vineyard at Qualco, South Australia",-34.10021,139.848822,"in paper, converted to decimal",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1755-0238.2010.00117.x,crd,1,1,study on the utility of NIR spectroscopy to measure grapevine water potential; ,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Australia,AUS
na,"De Bei, R.; Cozzolino, D.; Sullivan, W.; Cynkar, W.; Fuentes, S.; Dambergs, R.; Pech, J.; Tyerman, S.",2010,Non-destructive measurement of grapevine water potential using near infrared spectroscopy,yes,,"glasshouse at the Waite Campus of the University of Adelaide, South Australia",-34.96763,138.633453,"in paper, converted to decimal",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1755-0238.2010.00117.x,crd,2,na,study on the utility of NIR spectroscopy to measure grapevine water potential; ,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Australia,AUS
na,"de Souza, Claudia R.; Maroco, João P.; dos Santos, Tiago P.; Rodrigues, M. Lucília; Lopes, Carlos; Pereira, João S.; Chaves, M. Manuela",2005,Control of stomatal aperture and carbon uptake by deficit irrigation in two grapevine cultivars,yes,,Centro Experimental de Pegoes,38.67878662,-8.610244063,pegos coordinates,https://www.sciencedirect.com/science/article/pii/S0167880904003044,crd,2,1,NA,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Portugal,PRT
na,"Flexas, J.; Escalona, J. M.; Medrano, H.",1998,Down-regulation of photosynthesis by drought under field conditions in grapevine leaves,yes,,"commercial vineyard (Ca‚Äôn Ribas, Mallorca, Spain)",39.57208933,3.086122679,"in paper, converted to decimal",https://www-publish-csiro-au.eu1.proxy.openathens.net/fp/PP98054,crd,1,1,study on the influence of water stress on photochemical capacity,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Spain,ESP
na,"Giorio, P.; Nuzzo, V.",2012,"Leaf area, light environment, and gas exchange in Montepulciano grapevines trained to Tendone trellising system",yes,,Metaponto (MT) plain of southern Italy,40.866667,16.08,"in paper, converted to decimal",https://www.tandfonline.com/doi/full/10.1080/11263504.2011.557095?scroll=top&needAccess=true&role=tab,crd,1,1,"study on spectral irradiance, leaf water potential, gas exchange and optical properties of montepulciano",381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Italy,ITA
na,"Hochberg, Uri; Degu, Asfaw; Toubiana, David; Gendler, Tanya; Nikoloski, Zoran; Rachmilevitch, Shimon; Fait, Aaron",2013,Metabolite profiling and network analysis reveal coordinated changes in grapevine water stress response,yes,,"greenhouse at University of the Negev, Israel",31.25281781,34.79259314,location of university,https://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-13-184#Ack1,crd,2,1,study on Grapevine metabolism in response to water deficit,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Israel,ISR
na,"Intrigliolo, D. S.; Castel, J. R.",2009,"Response of Vitis vinifera cv. ‚ÄòTempranillo‚Äô to partial rootzone drying in the field: Water relations, growth, yield and fruit and wine quality",yes,,"Requena, Valencia, Spain",39.4833,-1.2167,"in paper, converted to decimal",https://www.sciencedirect.com/science/article/pii/S0378377408001881,crd,1,1,"study on irrigation amount and partial rootzone drying on water relations, growth, yield and wine quality of tempranillo",381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Spain,ESP
na,"Medrano, Hipólito; Escalona, José M.; Cifre, Josep; Bota, Josefina; Flexas, Jaume",2003,A ten-year study on the physiology of two Spanish grapevine cultivars under field conditions: effects of water availability from leaf photosynthesis to grape yield and quality,yes,,"commercial vineyard (herederos de Ribas S.A. Mallorca, Spain)",39.65705174,2.984552577,"in paper, but doesn't correspond to the location given. Instead I took a central location on Mallorca. Double checked by CRD on July 26th, the location given really doesn’t corresponds. ",https://www-publish-csiro-au.eu1.proxy.openathens.net/fp/FP02110,crd,2,1,study on A ten-year study on the physiology of two Spanish grapevine cultivars under field conditions: effects of water availability from leaf photosynthesis to grape yield and quality,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Spain,ESP
na,"Meggio, F.; Prinsi, B.; Negri, A.s.; Simone Di Lorenzo, G.; Lucchini, G.; Pitacco, A.; Failla, O.; Scienza, A.; Cocucci, M.; Espen, L.",2014,Biochemical and physiological responses of two grapevine rootstock genotypes to drought and salt treatments,yes,, greenhouse sited in Milan (Italy),45.4632702,9.189408263,central location in Milan,https://onlinelibrary.wiley.com/doi/full/10.1111/ajgw.12071,crd,1,1,study on the effect of sodium chloride exposure and waterstress on two a new rootstock genotype,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Italy,ITA
na,"Moutinho-Pereira, J.M.; Correia, C.M.; Gonçalves, B.M.; Bacelar, E.A.; Torres-Pereira, J.M.",2004,Leaf Gas Exchange and Water Relations of Grapevines Grown in Three Different Conditions,yes,,Campus of UTAD at Vila Real,41.316667,-7.733333,"in paper, converted to decimal",https://link.springer.com/article/10.1023/B:PHOT.0000040573.09614.1d,crd,1,1,study on the effects of diurnal and seasonal changes in one scionxrootstock,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Portugal,PRT
na,"Moutinho-Pereira, J.M.; Correia, C.M.; Gonçalves, B.M.; Bacelar, E.A.; Torres-Pereira, J.M.",2004,Leaf Gas Exchange and Water Relations of Grapevines Grown in Three Different Conditions,yes,,Quinta do Seixo at Pinh√£o,41.166667,-7.55,"in paper, converted to decimal",https://link.springer.com/article/10.1023/B:PHOT.0000040573.09614.1d,crd,1,1,study on the effects of diurnal and seasonal changes in one scionxrootstock,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Portugal,PRT
na,"Moutinho-Pereira, J.M.; Correia, C.M.; Gonçalves, B.M.; Bacelar, E.A.; Torres-Pereira, J.M.",2004,Leaf Gas Exchange and Water Relations of Grapevines Grown in Three Different Conditions,yes,,Quinta da Leda at Almendra,41,-7.066667,"in paper, converted to decimal",https://link.springer.com/article/10.1023/B:PHOT.0000040573.09614.1d,crd,1,1,study on the effects of diurnal and seasonal changes in one scionxrootstock,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Portugal,PRT
na,"Patakas, Angelos; Kofidis, George; Bosabalidis, Artemios M.",2003,The relationships between CO2 transfer mesophyll resistance and photosynthetic efficiency in grapevine cultivars,yes,,"Laboratory of viticulture of Aristotle, University of Thessaloniki.",40.63099109,22.95923313,central location of the university,https://www.sciencedirect.com/science/article/pii/S0304423802002017,crd,3,1,study on physiological and leaf anatomical characteristics,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Greece,GRC
na,"Patakas, A.; Noitsakis, B.; Chouzouri, A.",2005,Optimization of irrigation water use in grapevines using the relationship between transpiration and plant water status,yes,,vineyard of Gerovassileiou which is located in Epanomi,40.45375342,22.93011246,central location of the vineyard,https://www.sciencedirect.com/science/article/pii/S0167880904003032,crd,1,1,study on grapevine treshold water status,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Greece,GRC
na,"Rodrigues, M. Lucília; Santos, Tiago P.; Rodrigues, Ana P.; de Souza, Claudia R.; Lopes, Carlos M.; Maroco, João P.; Pereira, João S.; Chaves, M. Manuela",2008,Hydraulic and chemical signalling in the regulation of stomatal conductance and plant water use in field grapevines growing under deficit irrigation,yes,,commercial vineyard located 70 km south-east of Lisbon at the Centro Experimental de Peg√µes,38.68582025,-8.658814863,"in paper, converted to decimal",https://pubmed.ncbi.nlm.nih.gov/32688812/,crd,2,1,study on hydraulic and chemical signalling in two scions grafted on 1 rootstock,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Portugal,PRT
na,"Schultz, H. R.",2003,Differences in hydraulic architecture account for near-isohydric and anisohydric behaviour of two field-grown Vitis vinifera L. cultivars during drought,yes,,"commercial vineyard near Montpellier, France",43.75,3.666667,"in paper, converted to decimal",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-3040.2003.01064.x,crd,2,1,study on hydraulic architecture in 2 scions and 1 rootstock,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,France,FRA
na,"Speirs, Jim; Binney, Allan; Collins, Marisa; Edwards, Everard; Loveys, Brian",2013,Expression of ABA synthesis and metabolism genes under different irrigation strategies and atmospheric VPDs is associated with stomatal conductance in grapevine (Vitis vinifera L.¬†cv Cabernet Sauvignon),yes,,Yalumba Oxford Landing vineyard in the South Australian Riverland,-34.43021291,139.0104087,central location of the vineyard,https://pubmed.ncbi.nlm.nih.gov/23630325/,crd,1,1,study on ABA synthesis under different irrgation startegies,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Australia,AUS
na,"Tombesi, Sergio; Nardini, Andrea; Farinelli, Daniela; Palliotti, Alberto",2014,"Relationships between stomatal behavior, xylem vulnerability to cavitation and leaf water relations in two cultivars of Vitis vinifera",yes,,Fac-ulty of Agriculture of the University of Perugia,42.966667,12.4,"in paper, converted to decimal",https://onlinelibrary.wiley.com/doi/full/10.1111/ppl.12180,crd,2,1,study on the relations between stomatal behaviour and xylem vulnerability,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Italy,ITA
na,"Tramontini, Sara; Vitali, Marco; Centioni, Luna; Schubert, Andrea; Lovisolo, Claudio",2013,Rootstock control of scion response to water stress in grapevine,yes,,"experimental vineyard located at the Faculty of Agriculture of the University of Turin (Grugliasco, Italy)",45.05543122,7.634268197,location of where they collected additional leaves,https://www.sciencedirect.com/science/article/pii/S0098847213000713,crd,4,2,NA,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Italy,ITA
na,"Zsófi, Zs; GÁL, L.; Szilagyi, Zoltan; SZ_CS, E.; Marschall, M.; Nagy, Zoltán; Balo, Borbala",2009,Use of stomatal conductance and pre-dawn water potential to classify terroir for the grape variety K√©kfrankos,yes,,Eger-K≈ëlyuktet≈ë,47.86985652,20.38503282,central location of vineyard,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1755-0238.2008.00036.x,crd,1,1,NA,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Hungary,HUN
na,"Zsófi, Zs; GÁL, L.; Szilagyi, Zoltan; SZ_CS, E.; Marschall, M.; Nagy, Zoltán; Balo, Borbala",2009,Use of stomatal conductance and pre-dawn water potential to classify terroir for the grape variety K√©kfrankos,yes,,Eger-Nagyeged hill,47.93425016,20.41718201,central location of vineyard,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1755-0238.2008.00036.x,crd,1,1,NA,381,Factors influencing stomatal conductance in response to water availability in grapevine: a meta-analysis,Hungary,HUN